Month,All items,"All items, less fresh food","All items, less imputed rent","All items, less imputed rent and fresh food","All items, less fresh food and energy","All items, less food (less alcoholic beverages) and energy ",Food,Fresh food,"Food, less fresh food ",Cereals,Fish and seafood,Fresh fish and seafood,Meats,Dairy products and eggs,Vegetables and seaweeds,Fresh vegetables,Fruits,Fresh fruits,"Oils, fats and seasonings",Cakes and candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,"Housing, less imputed rent",Rent,"Rent, less imputed rent",Repairs and maintenance,"Fuel, light and water charges",Electricity,Gas,Other fuel and light,Water and sewerage charges,Furniture and household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non durable goods,Domestic services,Clothes and footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters and underwear",Shirts and sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines and health fortification,Medical supplies and appliances,Medical services,Transportation and communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks and reference books for study,Tutorial fees,Culture and recreation,Recreational durable goods,Recreational goods,Books and other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Energy,Expenses for education,Expenses for culture and recreation,Expenses for information and communication
Nov-00,-0.5 ,-0.5 ,-0.7 ,-0.7 ,-0.7 ,-0.5 ,-1.2 ,-1.3 ,-1.1 ,-2.4 ,-1.0 ,-1.3 ,-0.7 ,-2.0 ,-2.2 ,-3.4 ,1.9 ,2.0 ,-1.9 ,-0.1 ,-1.1 ,-0.8 ,-0.5 ,-1.4 ,0.3 ,-0.3 ,0.5 ,0.0 ,-0.8 ,1.1 ,-1.8 ,2.6 ,10.8 ,2.0 ,-3.5 ,-7.8 ,-2.1 ,-3.1 ,-1.6 ,-1.8 ,0.9 ,-1.9 ,-2.6 ,-0.8 ,-2.8 ,-1.6 ,-2.3 ,0.0 ,-1.7 ,-0.5 ,0.1 ,-0.1 ,-0.4 ,-2.7 ,1.0 ,-0.2 ,0.0 ,1.5 ,-5.1 ,1.1 ,1.3 ,0.3 ,0.3 ,-1.0 ,-6.2 ,-0.7 ,0.1 ,-0.9 ,-0.2 ,0.5 ,-0.3 ,-1.3 ,0.0 ,1.3 ,2.4 ,0.9 ,-0.9 ,
Dec-00,-0.2 ,-0.6 ,-0.3 ,-0.8 ,-0.8 ,-0.5 ,0.1 ,7.0 ,-1.2 ,-2.5 ,-1.6 ,-2.4 ,-0.9 ,-2.0 ,6.9 ,12.4 ,16.5 ,17.4 ,-1.8 ,-0.1 ,-1.0 ,-1.0 ,-0.5 ,-1.4 ,0.2 ,-0.3 ,0.4 ,0.0 ,-0.8 ,1.3 ,-1.8 ,2.9 ,10.9 ,2.1 ,-3.3 ,-7.6 ,-1.6 ,-2.5 ,-1.6 ,-2.2 ,0.9 ,-2.0 ,-2.5 ,-0.9 ,-2.6 ,-2.0 ,-2.8 ,-0.2 ,-1.5 ,-0.7 ,0.0 ,-0.2 ,-0.5 ,-2.9 ,1.0 ,-0.1 ,0.2 ,1.4 ,-5.2 ,1.1 ,1.3 ,0.3 ,0.3 ,-0.9 ,-6.2 ,-0.7 ,0.1 ,-0.6 ,-0.3 ,0.4 ,-0.5 ,-1.7 ,0.0 ,1.3 ,2.3 ,0.9 ,-0.7 ,
Jan-01,-0.3 ,-0.8 ,-0.4 ,-1.0 ,-1.0 ,-0.9 ,0.7 ,9.8 ,-1.1 ,-2.2 ,-0.5 ,-0.9 ,-1.2 ,-1.3 ,10.4 ,17.1 ,14.6 ,15.5 ,-1.3 ,-0.4 ,-0.8 ,-1.4 ,-0.6 ,-1.4 ,0.2 ,-0.3 ,0.3 ,0.0 ,-0.6 ,0.7 ,-2.0 ,2.6 ,11.1 ,1.4 ,-3.6 ,-8.0 ,-1.6 ,-2.1 ,-1.2 ,-2.7 ,0.6 ,-1.6 ,-2.7 ,-2.8 ,-2.8 ,-1.4 ,-1.8 ,-0.6 ,-1.0 ,0.3 ,0.0 ,1.0 ,-0.7 ,-3.0 ,3.5 ,-0.3 ,0.9 ,1.3 ,-5.3 ,1.1 ,1.3 ,1.4 ,0.2 ,-3.1 ,-22.0 ,-0.5 ,0.2 ,-1.0 ,-0.5 ,0.4 ,-0.9 ,-2.3 ,0.0 ,0.4 ,2.0 ,1.0 ,-2.6 ,
Feb-01,-0.3 ,-0.8 ,-0.4 ,-1.0 ,-1.0 ,-1.0 ,0.7 ,9.9 ,-1.1 ,-2.3 ,-1.4 ,-2.2 ,-0.9 ,-0.5 ,13.0 ,22.0 ,9.9 ,10.5 ,-1.6 ,-0.6 ,-1.0 ,-1.7 ,-0.7 ,-1.3 ,0.1 ,-0.3 ,0.1 ,0.0 ,-0.6 ,0.7 ,-2.0 ,2.4 ,11.0 ,1.2 ,-3.6 ,-8.1 ,-0.9 ,-3.1 ,-0.9 ,-2.5 ,0.6 ,-1.9 ,-3.2 ,-3.0 ,-3.3 ,-1.6 ,-2.0 ,-0.3 ,-0.9 ,0.5 ,-0.1 ,1.1 ,-0.8 ,-2.4 ,3.5 ,-0.3 ,1.3 ,1.2 ,-5.4 ,1.1 ,1.3 ,1.4 ,0.2 ,-3.3 ,-21.9 ,-0.8 ,0.2 ,-1.3 ,-0.5 ,0.4 ,-0.7 ,-2.4 ,0.0 ,0.4 ,1.9 ,0.9 ,-2.7 ,
Mar-01,-0.7 ,-0.9 ,-0.9 ,-1.0 ,-1.1 ,-1.1 ,-0.2 ,2.6 ,-0.8 ,-2.3 ,1.0 ,1.2 ,-0.8 ,-2.0 ,2.3 ,3.8 ,2.9 ,3.1 ,-1.3 ,-0.5 ,-1.2 ,-1.4 ,-0.6 ,-0.2 ,0.1 ,-0.3 ,0.3 ,0.1 ,-0.7 ,0.6 ,-2.0 ,2.5 ,10.3 ,1.2 ,-3.5 ,-7.8 ,-0.9 ,-3.9 ,-0.9 ,-2.7 ,0.6 ,-2.7 ,-3.7 ,-3.2 ,-3.8 ,-3.2 ,-4.3 ,-0.8 ,-1.6 ,0.3 ,-0.1 ,1.2 ,-0.9 ,-2.3 ,3.5 ,-0.9 ,0.8 ,1.0 ,-7.2 ,1.0 ,1.3 ,1.4 ,0.0 ,-3.5 ,-21.9 ,-1.0 ,0.2 ,-1.4 ,-0.2 ,0.3 ,-0.6 ,-1.0 ,0.0 ,0.4 ,1.6 ,0.9 ,-2.9 ,
Apr-01,-0.7 ,-0.8 ,-1.0 ,-1.0 ,-0.9 ,-0.9 ,-0.6 ,0.6 ,-1.0 ,-2.3 ,0.2 ,0.5 ,-0.7 ,-2.9 ,2.3 ,3.9 ,-4.4 ,-4.4 ,-1.5 ,-0.8 ,-1.3 ,-1.6 ,-0.6 ,-0.2 ,0.5 ,-0.4 ,0.7 ,0.0 ,-0.8 ,0.6 ,-1.9 ,2.2 ,9.2 ,1.3 ,-3.6 ,-7.7 ,-1.0 ,-3.7 ,-0.7 ,-3.3 ,0.6 ,-2.5 ,-3.6 ,-3.4 ,-3.6 ,-2.3 ,-3.2 ,-0.4 ,-1.8 ,0.3 ,-0.1 ,0.6 ,-0.9 ,-2.4 ,2.5 ,-0.5 ,0.0 ,1.2 ,-5.4 ,1.1 ,1.1 ,1.6 ,0.7 ,-3.1 ,-22.6 ,-0.6 ,0.2 ,-0.9 ,-0.1 ,0.3 ,-0.5 ,-0.5 ,0.0 ,0.1 ,1.2 ,0.9 ,-2.7 ,
May-01,-0.7 ,-1.0 ,-0.9 ,-1.1 ,-1.1 ,-1.1 ,-0.2 ,3.7 ,-0.9 ,-2.2 ,1.8 ,3.2 ,-0.2 ,-3.6 ,3.5 ,6.2 ,1.1 ,1.4 ,-1.2 ,-0.8 ,-1.2 ,-1.9 ,-0.7 ,-0.2 ,0.1 ,-0.5 ,0.3 ,-0.2 ,-0.8 ,0.5 ,-1.9 ,2.1 ,8.6 ,1.5 ,-3.5 ,-7.1 ,-1.3 ,-3.1 ,-0.9 ,-3.5 ,0.6 ,-2.1 ,-3.0 ,-3.4 ,-3.0 ,-2.3 ,-3.1 ,-0.5 ,-1.8 ,0.5 ,-0.1 ,0.6 ,-0.9 ,-2.3 ,2.5 ,-1.1 ,-0.2 ,0.9 ,-6.9 ,1.0 ,1.2 ,1.6 ,0.7 ,-3.5 ,-22.1 ,-0.8 ,0.2 ,-1.7 ,-0.2 ,0.2 ,-0.8 ,-0.3 ,0.0 ,0.1 ,0.8 ,0.9 ,-3.2 ,
Jun-01,-0.8 ,-0.9 ,-1.0 ,-1.1 ,-1.0 ,-0.9 ,-0.8 ,-0.1 ,-0.9 ,-2.3 ,0.6 ,0.9 ,0.0 ,-2.3 ,0.9 ,1.7 ,-4.1 ,-4.1 ,-1.2 ,-0.6 ,-1.4 ,-1.6 ,-0.9 ,-0.5 ,0.1 ,-0.5 ,0.3 ,-0.2 ,-0.9 ,0.6 ,-1.9 ,2.1 ,8.3 ,1.7 ,-3.5 ,-7.3 ,-0.8 ,-3.6 ,-0.9 ,-3.8 ,0.2 ,-2.2 ,-3.1 ,-3.5 ,-3.0 ,-2.3 ,-3.1 ,-0.6 ,-1.5 ,0.4 ,-0.1 ,0.7 ,-0.9 ,-2.1 ,2.5 ,-0.9 ,-0.2 ,1.1 ,-6.9 ,1.0 ,1.2 ,1.6 ,0.7 ,-2.8 ,-22.7 ,-1.2 ,0.2 ,-0.4 ,-0.1 ,0.2 ,-0.7 ,0.3 ,0.0 ,0.1 ,0.5 ,0.9 ,-2.6 ,
Jul-01,-0.8 ,-0.9 ,-1.1 ,-1.1 ,-0.9 ,-0.9 ,-0.8 ,-0.4 ,-0.8 ,-2.1 ,-0.6 ,-0.7 ,0.2 ,-1.6 ,0.2 ,0.1 ,-0.9 ,-0.8 ,-1.5 ,-0.7 ,-1.5 ,-1.6 ,-0.8 ,-0.3 ,0.2 ,-0.5 ,0.4 ,-0.2 ,-0.9 ,0.0 ,-3.1 ,1.7 ,8.0 ,1.8 ,-3.5 ,-7.3 ,-1.1 ,-4.0 ,-0.8 ,-3.6 ,0.3 ,-2.1 ,-2.8 ,-3.7 ,-2.8 ,-2.5 ,-3.6 ,-0.5 ,-1.4 ,0.7 ,0.0 ,0.5 ,-0.9 ,-2.5 ,2.5 ,-1.0 ,0.3 ,0.9 ,-6.7 ,1.0 ,1.2 ,1.6 ,0.7 ,-3.2 ,-23.0 ,-1.4 ,0.2 ,-0.8 ,-0.1 ,0.2 ,-0.9 ,0.7 ,0.0 ,0.1 ,-0.2 ,0.9 ,-2.8 ,
Aug-01,-0.7 ,-0.9 ,-0.9 ,-1.1 ,-0.9 ,-0.9 ,-0.3 ,2.5 ,-0.9 ,-2.1 ,0.8 ,1.0 ,0.1 ,-1.5 ,5.0 ,8.4 ,-3.6 ,-3.5 ,-1.4 ,-0.6 ,-1.3 ,-1.9 ,-0.7 ,-0.7 ,0.3 ,-0.5 ,0.4 ,-0.2 ,-0.9 ,0.0 ,-3.1 ,1.7 ,7.7 ,1.8 ,-3.7 ,-7.7 ,-0.8 ,-4.4 ,-0.6 ,-3.5 ,0.3 ,-2.5 ,-3.4 ,-3.3 ,-3.5 ,-3.3 ,-4.6 ,-0.4 ,-0.7 ,0.7 ,-0.1 ,0.6 ,-0.9 ,-2.4 ,2.5 ,-1.0 ,0.4 ,0.9 ,-6.8 ,1.0 ,1.2 ,1.6 ,0.7 ,-2.6 ,-22.2 ,-0.9 ,0.2 ,-0.6 ,0.0 ,0.2 ,-0.8 ,0.8 ,0.0 ,0.1 ,-0.4 ,0.9 ,-2.3 ,
Sep-01,-0.8 ,-0.8 ,-1.0 ,-1.0 ,-0.8 ,-0.8 ,-0.8 ,-1.1 ,-0.8 ,-1.5 ,-2.0 ,-3.0 ,0.4 ,-1.1 ,1.2 ,1.8 ,-2.9 ,-2.8 ,-0.9 ,-1.7 ,-1.0 ,-1.7 ,-0.8 ,-0.4 ,0.3 ,-0.6 ,0.4 ,-0.2 ,-1.0 ,-0.1 ,-3.1 ,1.7 ,7.1 ,2.1 ,-3.6 ,-7.7 ,-0.9 ,-4.0 ,-0.6 ,-3.3 ,0.3 ,-1.7 ,-1.9 ,-3.3 ,-1.8 ,-2.3 ,-3.0 ,-0.9 ,-0.7 ,0.2 ,0.0 ,0.6 ,-0.7 ,-2.1 ,2.5 ,-1.1 ,0.0 ,0.8 ,-6.7 ,1.0 ,1.2 ,1.6 ,0.7 ,-2.9 ,-20.5 ,-1.5 ,0.1 ,-1.1 ,0.0 ,0.2 ,-0.8 ,0.8 ,0.0 ,0.1 ,-0.5 ,0.9 ,-2.6 ,
Oct-01,-0.8 ,-0.7 ,-0.9 ,-0.9 ,-0.8 ,-0.7 ,-1.0 ,-1.5 ,-0.9 ,-1.2 ,-1.1 ,-1.2 ,0.1 ,-1.3 ,-0.4 ,-0.5 ,-3.6 ,-3.4 ,-1.3 ,-3.0 ,-0.9 ,-1.9 ,-0.7 ,-0.5 ,0.2 ,-0.6 ,0.5 ,-0.3 ,-1.0 ,1.7 ,1.5 ,1.2 ,4.0 ,2.3 ,-3.6 ,-7.7 ,-1.3 ,-3.7 ,-0.8 ,-3.4 ,0.4 ,-2.1 ,-3.0 ,-3.6 ,-2.9 ,-2.3 ,-2.9 ,-0.7 ,-0.5 ,-0.2 ,0.0 ,0.5 ,-0.7 ,-2.5 ,2.5 ,-1.0 ,-0.3 ,0.5 ,-5.4 ,1.0 ,1.2 ,1.6 ,0.7 ,-2.5 ,-19.0 ,-1.2 ,0.2 ,-0.8 ,0.0 ,0.2 ,-0.9 ,1.1 ,0.0 ,0.1 ,0.3 ,0.9 ,-2.2 ,
Nov-01,-1.0 ,-0.8 ,-1.3 ,-1.0 ,-0.8 ,-0.9 ,-1.9 ,-6.6 ,-0.9 ,-0.8 ,-3.3 ,-4.6 ,-0.2 ,-1.2 ,-4.9 ,-8.1 ,-6.9 ,-7.1 ,-0.7 ,-3.0 ,-0.7 ,-1.7 ,-0.8 ,-0.5 ,0.1 ,-0.7 ,0.3 ,-0.4 ,-1.0 ,1.4 ,1.5 ,1.1 ,-0.9 ,2.3 ,-3.7 ,-7.8 ,-1.4 ,-4.4 ,-1.1 ,-3.4 ,0.4 ,-2.2 ,-2.8 ,-3.3 ,-2.8 ,-2.6 ,-3.3 ,-1.1 ,-0.6 ,-0.6 ,0.0 ,0.5 ,-0.8 ,-2.8 ,2.5 ,-1.2 ,0.0 ,0.1 ,-5.5 ,1.0 ,1.2 ,1.6 ,0.7 ,-2.9 ,-18.9 ,-1.3 ,0.3 ,-1.5 ,-0.1 ,0.2 ,-1.2 ,0.9 ,0.0 ,0.1 ,-0.3 ,0.9 ,-2.5 ,
Dec-01,-1.2 ,-0.9 ,-1.6 ,-1.1 ,-0.9 ,-0.8 ,-2.5 ,-10.4 ,-1.0 ,-0.7 ,-2.6 ,-3.6 ,-0.3 ,-1.2 ,-8.8 ,-14.2 ,-14.0 ,-14.5 ,-1.3 ,-3.2 ,-0.6 ,-1.7 ,-0.9 ,-0.5 ,0.3 ,-0.6 ,0.5 ,-0.2 ,-1.0 ,1.1 ,1.5 ,1.0 ,-4.9 ,2.3 ,-3.6 ,-7.3 ,-1.4 ,-4.2 ,-1.2 ,-3.3 ,0.4 ,-2.5 ,-3.6 ,-4.7 ,-3.4 ,-2.7 ,-3.4 ,-1.1 ,-1.0 ,-0.3 ,0.1 ,0.6 ,-0.7 ,-2.5 ,2.5 ,-1.3 ,0.0 ,-0.4 ,-5.2 ,1.0 ,1.2 ,1.6 ,0.7 ,-2.7 ,-18.2 ,-2.5 ,0.5 ,-1.1 ,-0.1 ,0.2 ,-1.0 ,0.9 ,0.0 ,0.1 ,-1.0 ,0.9 ,-2.5 ,
